method,sigma_mhz,num_samples,average_fidelity,average_gate_fidelity,fidelity_variance
nominal,0.1,60,0.995049095082678,0.9938113688533476,1.8572218153796984e-06
nominal,0.11,60,0.9948872005816928,0.993609000727116,1.4421914652240089e-06
nominal,0.12,60,0.9946449601601955,0.9933062002002442,2.407179803645476e-06
nominal,0.13,60,0.994862917326186,0.9935786466577324,4.246000895376351e-06
nominal,0.14,60,0.9944991127795326,0.993123890974416,3.3720281504653213e-06
nominal,0.15,60,0.9944838745893948,0.9931048432367436,4.288144437873324e-06
nominal,0.16,60,0.9942749499995488,0.9928436874994356,3.779994692911422e-06
nominal,0.17,60,0.9942487590989176,0.992810948873647,4.133827655521313e-06
nominal,0.18,60,0.9943166714749672,0.992895839343709,5.507962565558225e-06
nominal,0.19,60,0.9944382712949332,0.9930478391186662,5.186796299101126e-06
nominal,0.2,60,0.9939207244848216,0.9924009056060268,6.473067280629145e-06
nominal,0.21,60,0.9934105318856666,0.9917631648570832,6.5935830571022205e-06
nominal,0.22,60,0.9936603657411368,0.9920754571764208,9.26800892591773e-06
nominal,0.23,60,0.9935573648372936,0.9919467060466172,9.226448775579586e-06
nominal,0.24,60,0.992991763317951,0.9912397041474388,1.180344239823367e-05
nominal,0.25,60,0.9931409054658826,0.991426131832353,1.1502071397066693e-05
nominal,0.26,60,0.9929119340895408,0.991139917611926,1.2377662738456555e-05
nominal,0.27,60,0.992890711141164,0.9911133889264548,1.4373922774603588e-05
nominal,0.28,60,0.9923442004425672,0.9904302505532084,1.401425915887519e-05
nominal,0.29,60,0.9929180230215704,0.9911475287769628,1.475863117049586e-05
nominal,0.3,60,0.9920687292120576,0.9900859115150716,1.3773645924109713e-05
nominal,0.31,60,0.991854474681717,0.9898180933521462,1.6444524430926467e-05
nominal,0.32,60,0.9918270763091016,0.989783845386377,1.825716592621872e-05
nominal,0.33,60,0.9917214144373026,0.989651768046628,2.1433539596949814e-05
nominal,0.34,60,0.9913816493886868,0.9892270617358584,2.4118467559467955e-05
nominal,0.35,60,0.9903269388167372,0.9879086735209216,2.276828455717625e-05
nominal,0.36,60,0.9904906231002976,0.9881132788753718,2.333643983096536e-05
nominal,0.37,60,0.9898095332124414,0.9872619165155516,3.745574503930586e-05
nominal,0.38,60,0.9909714940412124,0.9887143675515156,2.842322220152877e-05
nominal,0.39,60,0.9901527166412016,0.9876908958015016,2.642491388224672e-05
nominal,0.4,60,0.9897543483251192,0.9871929354063992,2.307865614680338e-05
nominal,0.41,60,0.9895337605324674,0.986917200665584,1.987134479112741e-05
nominal,0.42,60,0.9898372787808708,0.9872965984760884,2.855066393426986e-05
nominal,0.43,60,0.9897228268095954,0.9871535335119944,2.701943991697485e-05
nominal,0.44,60,0.9883852888593712,0.985481611074214,4.34264194179574e-05
nominal,0.45,60,0.9890144249120651,0.9862680311400814,3.197840509039009e-05
nominal,0.46,60,0.987564838341246,0.9844560479265576,3.905710297040398e-05
nominal,0.47,60,0.9884516365004504,0.9855645456255634,3.893478610169452e-05
nominal,0.48,60,0.9867129631505784,0.9833912039382228,5.158276631586293e-05
nominal,0.49,60,0.9873207019224836,0.9841508774031044,4.470800670668393e-05
nominal,0.5,60,0.9877098217624134,0.9846372772030167,4.553267580104392e-05
nominal,0.51,60,0.9863308468073586,0.982913558509198,5.104942117902e-05
nominal,0.52,60,0.9873139295828172,0.9841424119785216,5.210630452472845e-05
nominal,0.53,60,0.9850480436832932,0.9813100546041162,5.373940065542375e-05
nominal,0.54,60,0.9855279953363651,0.9819099941704564,5.857115619882733e-05
nominal,0.55,60,0.9845428180452273,0.980678522556534,6.753063079757766e-05
nominal,0.56,60,0.9857163743981452,0.9821454679976812,6.617540278391978e-05
nominal,0.57,60,0.9850326699048996,0.981290837381124,6.84599806574478e-05
nominal,0.58,60,0.9836828476137556,0.9796035595171948,6.579355193620506e-05
nominal,0.59,60,0.9841430087435614,0.9801787609294514,7.395638641622666e-05
nominal,0.6,60,0.9827638164313116,0.9784547705391394,8.616587808276836e-05
nominal,0.61,60,0.9825879058842044,0.9782348823552552,8.688788300014091e-05
nominal,0.62,60,0.9819306184759086,0.9774132730948856,9.534162842232462e-05
nominal,0.63,60,0.982082729065204,0.9776034113315052,8.944988349640947e-05
nominal,0.64,60,0.9812986023875984,0.9766232529844976,7.056881684158307e-05
nominal,0.65,60,0.9818406095067572,0.9773007618834466,8.436918562415905e-05
nominal,0.66,60,0.9821382492739236,0.9776728115924044,8.88933787399428e-05
nominal,0.67,60,0.9778219744193484,0.9722774680241854,0.0001180268924044
nominal,0.68,60,0.9802879286689552,0.975359910836194,0.0001226310288706
nominal,0.69,60,0.9802054917222456,0.9752568646528068,8.854573557992493e-05
nominal,0.7,60,0.97845001633078,0.9730625204134749,0.0001029890154376
nominal,0.71,60,0.9786182807374962,0.97327285092187,0.0001038148871977
nominal,0.72,60,0.979625075075523,0.9745313438444038,0.0001375292858871
nominal,0.73,60,0.9770335687732434,0.971291960966554,0.0001157757837676
nominal,0.74,60,0.9757105450354608,0.9696381812943258,0.0001735924913836
nominal,0.75,60,0.9780253080949148,0.9725316351186432,0.0001168790048259
nominal,0.76,60,0.9750674543462676,0.9688343179328344,0.0002388451582212
nominal,0.77,60,0.9751873529297928,0.968984191162241,0.0001499126652699
nominal,0.78,60,0.975750489812046,0.9696881122650572,0.000158633898105
nominal,0.79,60,0.9756478602009896,0.9695598252512372,0.0001165613192202
nominal,0.8,60,0.9752218455472148,0.969027306934018,0.0001719284779364
nominal,0.81,60,0.9699260326321688,0.962407540790211,0.0001906357234464
nominal,0.82,60,0.9705312519361956,0.9631640649202444,0.0001525332391033
nominal,0.83,60,0.9696295742878912,0.962036967859864,0.0002442521469721
nominal,0.84,60,0.9712413333539064,0.9640516666923834,0.0001723795726426
nominal,0.85,60,0.9711357563544244,0.9639196954430302,0.0002877999811774
nominal,0.86,60,0.9697774249366528,0.962221781170816,0.000174795006308
nominal,0.87,60,0.9697839865769587,0.9622299832211986,0.0002041333157783
nominal,0.88,60,0.9705848716350092,0.9632310895437614,0.0001968205974991
nominal,0.89,60,0.967437394176203,0.959296742720254,0.0002069483313255
nominal,0.9,60,0.966532842990742,0.9581660537384276,0.0002999747053597
nominal,0.91,60,0.9662969932880036,0.9578712416100048,0.0003405970887604
nominal,0.92,60,0.966033964986643,0.9575424562333036,0.00033882174438
nominal,0.93,60,0.9642896390847916,0.9553620488559892,0.0002986667307597
nominal,0.94,60,0.9621202253545108,0.9526502816931388,0.0003062058558475
nominal,0.95,60,0.964640805038374,0.9558010062979676,0.0003008519328361
nominal,0.96,60,0.9663242743796302,0.9579053429745376,0.0002053625377034
nominal,0.97,60,0.9641409779396624,0.955176222424578,0.0002390443963287
nominal,0.98,60,0.9625471480175636,0.9531839350219546,0.0003556972122394
nominal,0.99,60,0.9624776467813302,0.9530970584766628,0.0002493202872156
nominal,1.0,60,0.9606001204284348,0.9507501505355436,0.0003304675332651
nominal,1.01,60,0.9581862697874444,0.9477328372343052,0.0003936792019842
nominal,1.02,60,0.9591919911181208,0.9489899888976512,0.0003609584596259
nominal,1.03,60,0.9550825712077482,0.943853214009685,0.0005775858908334
nominal,1.04,60,0.9558130845835456,0.944766355729432,0.0005222696523552
nominal,1.05,60,0.9613696303830164,0.9517120379787702,0.0002932864863687
nominal,1.06,60,0.9576403474158904,0.9470504342698628,0.0003803440969223
nominal,1.07,60,0.9576221288040204,0.9470276610050252,0.0003674124059048
nominal,1.08,60,0.9544152773741396,0.9430190967176746,0.0004951509066019
nominal,1.09,60,0.9505777703968749,0.9382222129960932,0.0006610852921751
nominal,1.1,60,0.9507796035540932,0.9384745044426162,0.0004756070991982
nominal,1.11,60,0.9521673441693654,0.940209180211707,0.0005574949843301
nominal,1.12,60,0.954957946670289,0.9436974333378612,0.0003694288275857
nominal,1.13,60,0.9508746524240372,0.9385933155300462,0.0006319313595856
nominal,1.14,60,0.9514618464550004,0.9393273080687504,0.0003594986416257
nominal,1.15,60,0.9466954782013636,0.9333693477517044,0.0004869023181647
nominal,1.16,60,0.950827984562606,0.9385349807032576,0.0008111654882339
nominal,1.17,60,0.9470896046500948,0.9338620058126184,0.0007813175484046
nominal,1.18,60,0.9479044185215032,0.9348805231518788,0.0008102162549561
nominal,1.19,60,0.9531905558236105,0.9414881947795132,0.0003875037251509
nominal,1.2,60,0.9495100291460198,0.9368875364325248,0.0005494135787349
nominal,1.21,60,0.949732620650746,0.9371657758134324,0.000458459962163
nominal,1.22,60,0.944189614374454,0.9302370179680676,0.0007276170182047
nominal,1.23,60,0.9447766753607648,0.930970844200956,0.0005952925664351
nominal,1.24,60,0.9462780070530992,0.932847508816374,0.0007165621580118
nominal,1.25,60,0.942718388189176,0.92839798523647,0.0008784682155779
nominal,1.26,60,0.944456830391676,0.9305710379895952,0.0006713840712361
nominal,1.27,60,0.941199148551117,0.926498935688896,0.0007071103290674
nominal,1.28,60,0.9394850596360262,0.9243563245450328,0.0010639561358949
nominal,1.29,60,0.9381118025329566,0.9226397531661956,0.0011377954382616
nominal,1.3,60,0.9396723002640984,0.9245903753301226,0.0010092585649324
nominal,1.31,60,0.9396622148462184,0.9245777685577724,0.0010981752521496
nominal,1.32,60,0.938135638641334,0.9226695483016676,0.0007941024532731
nominal,1.33,60,0.9361958760727151,0.920244845090894,0.0008260393227371
nominal,1.34,60,0.9375527730225306,0.9219409662781636,0.000965482888368
nominal,1.35,60,0.9376488121261748,0.9220610151577188,0.0009720277266253
nominal,1.36,60,0.9336358163880636,0.9170447704850796,0.0008874192417526
nominal,1.37,60,0.9315671833566102,0.9144589791957628,0.0008606997105235
nominal,1.38,60,0.9300317228511574,0.9125396535639464,0.0010256062489015
nominal,1.39,60,0.9321110977407474,0.915138872175934,0.0011869455766839
nominal,1.4,60,0.92941950730792,0.9117743841348996,0.0015842329283415
nominal,1.41,60,0.9290152954223242,0.9112691192779052,0.0009675432185779
nominal,1.42,60,0.929515338593754,0.9118941732421928,0.0009296289108229
nominal,1.43,60,0.92149486492719,0.9018685811589874,0.0016570007453956
nominal,1.44,60,0.9261128325767796,0.9076410407209744,0.0009261203370688
nominal,1.45,60,0.9198267066392156,0.8997833832990195,0.0015058520372826
nominal,1.46,60,0.9282900464843838,0.9103625581054796,0.0011801318164733
nominal,1.47,60,0.927635747982317,0.9095446849778964,0.0011095389827484
nominal,1.48,60,0.9299295634930008,0.9124119543662508,0.0009043193531054
nominal,1.49,60,0.9289566177758044,0.9111957722197556,0.0009702667195249
nominal,1.5,60,0.92083829098794,0.9010478637349252,0.0015663945555522
nominal,1.51,60,0.9199559846853564,0.8999449808566957,0.001162997068809
nominal,1.52,60,0.9161131319457362,0.8951414149321699,0.0012405211920841
nominal,1.53,60,0.9200100702171938,0.9000125877714923,0.0011248943589808
nominal,1.54,60,0.9186863336884036,0.8983579171105045,0.0013254175878017
nominal,1.55,60,0.9152079300396456,0.894009912549557,0.0018142982777951
nominal,1.56,60,0.91542547607417,0.8942818450927124,0.0018705700657056
nominal,1.57,60,0.9180202486578252,0.8975253108222815,0.0017322800528595
nominal,1.58,60,0.9186661678326294,0.8983327097907866,0.0015931313058897
nominal,1.59,60,0.9143499075550824,0.8929373844438531,0.0013258341943852
nominal,1.6,60,0.9159252876539196,0.8949066095673994,0.0015077785501816
nominal,1.61,60,0.919255420641898,0.8990692758023725,0.0017693621901086
nominal,1.62,60,0.9155797508460344,0.8944746885575429,0.0018119610943721
nominal,1.63,60,0.9056800088939104,0.8821000111173877,0.001647807263853
nominal,1.64,60,0.905713023398834,0.8821412792485422,0.0020567095739923
nominal,1.65,60,0.9047295724403792,0.8809119655504741,0.0018342287648084
nominal,1.66,60,0.9147424040826642,0.8934280051033302,0.0013938788576713
nominal,1.67,60,0.9010325264490048,0.8762906580612561,0.0022620109893229
nominal,1.68,60,0.9124329564610116,0.890541195576264,0.0012676427045898
nominal,1.69,60,0.8992756898831669,0.8740946123539586,0.0020137155124538
nominal,1.7,60,0.9009685373685749,0.8762106717107186,0.002137013408108
nominal,1.71,60,0.9077299964092552,0.8846624955115694,0.0018912450692228
nominal,1.72,60,0.900156991128765,0.8751962389109561,0.0021978348527824
nominal,1.73,60,0.9013547150143916,0.8766933937679892,0.0021968719594562
nominal,1.74,60,0.892964411103927,0.8662055138799086,0.0017180102868828
nominal,1.75,60,0.9005598300472482,0.8756997875590604,0.0017016124253292
nominal,1.76,60,0.8869837311700213,0.8587296639625266,0.0028521242978797
nominal,1.77,60,0.8972628172853995,0.8715785216067494,0.0027492562001297
nominal,1.78,60,0.8936140731327562,0.8670175914159456,0.0035881715947538
nominal,1.79,60,0.8898641694773662,0.8623302118467078,0.0022609738120947
nominal,1.8,60,0.8876694155343557,0.8595867694179448,0.0033875591846429
nominal,1.81,60,0.9016584851990548,0.8770731064988186,0.0015964464645657
nominal,1.82,60,0.8921577168596806,0.8651971460746007,0.0022111750749901
nominal,1.83,60,0.8936313300404081,0.86703916255051,0.0031339056525013
nominal,1.84,60,0.8900759227086689,0.8625949033858362,0.0022828600481479
nominal,1.85,60,0.8871666141936164,0.8589582677420201,0.0030977486451133
nominal,1.86,60,0.8879461229790877,0.8599326537238595,0.0027799643235468
nominal,1.87,60,0.889007156842287,0.8612589460528586,0.0026474582408261
nominal,1.88,60,0.8753495071650438,0.8441868839563049,0.0026625229523156
nominal,1.89,60,0.8855207676771379,0.8569009595964221,0.0026538712184695
nominal,1.9,60,0.8721559753185009,0.8401949691481259,0.0036733496253225
nominal,1.91,60,0.8763038549387621,0.8453798186734525,0.0023836777927578
nominal,1.92,60,0.8816018712958649,0.8520023391198311,0.0030159908053245
nominal,1.93,60,0.883874827027007,0.8548435337837585,0.0022614944331921
nominal,1.94,60,0.8775787703266253,0.8469734629082815,0.0022899967351832
nominal,1.95,60,0.8733723251373213,0.8417154064216513,0.0028581284662341
nominal,1.96,60,0.8698990308331318,0.8373737885414146,0.0032375219152963
nominal,1.97,60,0.8727254340296025,0.8409067925370032,0.0023131871583801
nominal,1.98,60,0.8658843794945632,0.8323554743682041,0.0036082656547915
nominal,1.99,60,0.8734845596954657,0.8418556996193322,0.0034906650193142
nominal,2.0,60,0.863820675418836,0.8297758442735452,0.0026414801346744
nominal,2.01,60,0.8730116665301866,0.8412645831627332,0.0028859688271323
nominal,2.02,60,0.8678502616367727,0.8348128270459658,0.0033734748359886
nominal,2.03,60,0.8613836909941681,0.8267296137427101,0.0044190741471589
nominal,2.04,60,0.8656896459708143,0.8321120574635177,0.0042583566407772
nominal,2.05,60,0.8660750905880067,0.8325938632350081,0.0029233532239715
nominal,2.06,60,0.8587989691548984,0.8234987114436232,0.0036560339325672
nominal,2.07,60,0.8595604570488646,0.8244505713110809,0.0029521618803142
nominal,2.08,60,0.8346057748957059,0.793257218619632,0.0049163916956477
nominal,2.09,60,0.8581977887740284,0.8227472359675356,0.0053637470607262
nominal,2.1,60,0.8564412855927611,0.8205516069909512,0.0037154830294536
nominal,2.11,60,0.8649245479157224,0.8311556848946527,0.0050802923765824
nominal,2.12,60,0.8574125473192349,0.8217656841490434,0.0073640562611662
nominal,2.13,60,0.8484395657544855,0.8105494571931069,0.0058261101363247
nominal,2.14,60,0.8586332902438649,0.8232916128048313,0.0042401404162947
nominal,2.15,60,0.8524839028969243,0.8156048786211557,0.0037636700646877
nominal,2.16,60,0.8506532561219591,0.8133165701524488,0.0038886800645863
nominal,2.17,60,0.8433345780849841,0.8041682226062299,0.0038730937472189
nominal,2.18,60,0.8473321471764635,0.8091651839705796,0.0036610670868556
nominal,2.19,60,0.8432349508313101,0.8040436885391374,0.0043627857804941
nominal,2.2,60,0.8415121655428526,0.8018902069285655,0.0041571607231339
nominal,2.21,60,0.8413676408436448,0.8017095510545562,0.0047437047385317
nominal,2.22,60,0.8373671856884531,0.7967089821105665,0.0052632522212243
nominal,2.23,60,0.8440985672364558,0.8051232090455694,0.0050696691197206
nominal,2.24,60,0.8412580802936316,0.8015726003670394,0.0035791259598521
nominal,2.25,60,0.8295876204968275,0.7869845256210344,0.0047442642752644
nominal,2.26,60,0.8318823141086263,0.7898528926357827,0.0044639030458962
nominal,2.27,60,0.8405205241720939,0.8006506552151175,0.0047868679001508
nominal,2.28,60,0.8217709328055538,0.7772136660069423,0.0058040820490289
nominal,2.29,60,0.8427761093561998,0.8034701366952496,0.0044634745021359
nominal,2.3,60,0.843690719746358,0.8046133996829473,0.003272697619903
nominal,2.31,60,0.8164526360869436,0.7705657951086795,0.0068767507582669
nominal,2.32,60,0.838351174351881,0.7979389679398511,0.0048571385747404
nominal,2.33,60,0.8409854104236003,0.8012317630295002,0.0036577812361236
nominal,2.34,60,0.840391522257254,0.8004894028215674,0.0048097789899035
nominal,2.35,60,0.8150757138997259,0.7688446423746573,0.0053927830110327
nominal,2.36,60,0.8369102698743958,0.7961378373429947,0.0042347974446053
nominal,2.37,60,0.8131428959383471,0.766428619922934,0.0058345979171313
nominal,2.38,60,0.8187547655144205,0.7734434568930252,0.0064764398278921
nominal,2.39,60,0.8258613175839504,0.7823266469799378,0.0066629426585555
nominal,2.4,60,0.8221827176062253,0.7777283970077814,0.0062853337776343
nominal,2.41,60,0.8244687410554413,0.7805859263193012,0.005781584216862
nominal,2.42,60,0.8077076776645108,0.7596345970806382,0.0085978665420649
nominal,2.43,60,0.8077853924014682,0.7597317405018351,0.0049098945039402
nominal,2.44,60,0.8108031849433968,0.7635039811792458,0.0051033622905879
nominal,2.45,60,0.8092841742093289,0.7616052177616612,0.0047523513347308
nominal,2.46,60,0.8155822078944767,0.769477759868096,0.0064353461441042
nominal,2.47,60,0.7896994266928887,0.7371242833661109,0.0070757259560621
nominal,2.48,60,0.8092391529542777,0.761548941192847,0.0057159197855305
nominal,2.49,60,0.8083155110096641,0.76039438876208,0.0054709962597449
nominal,2.5,60,0.802600307293518,0.7532503841168975,0.0053948511409221
nominal,2.51,60,0.8017040820192616,0.752130102524077,0.0077429308733667
nominal,2.52,60,0.7851256823807914,0.7314071029759892,0.0080731759718396
nominal,2.53,60,0.8018186419264531,0.7522733024080664,0.006585350765275
nominal,2.54,60,0.7960359586031412,0.7450449482539265,0.009634150783959
nominal,2.55,60,0.7923972378047991,0.7404965472559988,0.0075023522968651
nominal,2.56,60,0.7944467243702532,0.7430584054628163,0.0060169534399626
nominal,2.57,60,0.8006876164944301,0.7508595206180374,0.0043507672812577
nominal,2.58,60,0.7958637045688177,0.7448296307110222,0.0062588111765225
nominal,2.59,60,0.7973905449480456,0.7467381811850569,0.0061474622253429
nominal,2.6,60,0.7880593323225273,0.7350741654031591,0.008549365813661
nominal,2.61,60,0.7847347049093619,0.7309183811367024,0.0106904347377094
nominal,2.62,60,0.7930639239472557,0.7413299049340698,0.0072753925214513
nominal,2.63,60,0.8006930433247501,0.7508663041559377,0.0074219686190838
nominal,2.64,60,0.7893192672199324,0.7366490840249157,0.0064711778610929
nominal,2.65,60,0.7851258638298781,0.7314073297873479,0.00633063723224
nominal,2.66,60,0.7832983485131955,0.7291229356414942,0.0081534178488749
nominal,2.67,60,0.7910347944087754,0.7387934930109691,0.0064227390052634
nominal,2.68,60,0.7889411360301086,0.7361764200376355,0.0066438011614831
nominal,2.69,60,0.7781175763363579,0.7226469704204473,0.0097660823989527
nominal,2.7,60,0.770785501630643,0.7134818770383037,0.0084012568004036
nominal,2.71,60,0.7727094024548155,0.7158867530685192,0.0080311668649009
nominal,2.72,60,0.7769359448194263,0.721169931024283,0.0072228918481165
nominal,2.73,60,0.7763521573039203,0.7204401966299003,0.0117863145455202
nominal,2.74,60,0.7915926781766016,0.7394908477207518,0.0066697702914812
nominal,2.75,60,0.7890093172381532,0.7362616465476914,0.0086342508766068
nominal,2.76,60,0.7709177527533394,0.7136471909416741,0.0076671929038841
nominal,2.77,60,0.788981417134113,0.7362267714176414,0.0077985671291408
nominal,2.78,60,0.7570351690980192,0.6962939613725239,0.0089421394078847
nominal,2.79,60,0.7852097641210072,0.7315122051512589,0.0068908611615313
nominal,2.8,60,0.7680774645327944,0.7100968306659928,0.0103349708881088
nominal,2.81,60,0.7553650046034068,0.6942062557542585,0.0119023866378492
nominal,2.82,60,0.7612324376430872,0.7015405470538589,0.0078809097384987
nominal,2.83,60,0.7560044960167035,0.6950056200208792,0.0110959228216139
nominal,2.84,60,0.7647071041977449,0.7058838802471811,0.0095897108182219
nominal,2.85,60,0.774477077641607,0.7180963470520089,0.0082286643108606
nominal,2.86,60,0.7718695680437591,0.7148369600546988,0.0081810372103679
nominal,2.87,60,0.7401597134154079,0.6751996417692598,0.0075691049330585
nominal,2.88,60,0.747641406913759,0.6845517586421986,0.010807484333589
nominal,2.89,60,0.750751825015453,0.6884397812693163,0.0098060405535501
nominal,2.9,60,0.7487616443493295,0.6859520554366616,0.0095169741387924
nominal,2.91,60,0.7714345025015747,0.7142931281269685,0.0100778258855001
nominal,2.92,60,0.7648690969340515,0.7060863711675646,0.0078663110499299
nominal,2.93,60,0.7628218865449266,0.7035273581811582,0.0112345099705382
nominal,2.94,60,0.7415491942176478,0.6769364927720597,0.0074461421727734
nominal,2.95,60,0.7533303841217496,0.6916629801521869,0.0112260314363526
nominal,2.96,60,0.7395316486041748,0.6744145607552183,0.0133648339759322
nominal,2.97,60,0.7506649473485836,0.6883311841857297,0.008422080327773
nominal,2.98,60,0.7583885208992731,0.6979856511240913,0.0099319354621614
nominal,2.99,60,0.7428679527230548,0.6785849409038188,0.0089021705429024
nominal,3.0,60,0.7117381455983915,0.6396726819979895,0.0106112721706853
nominal,3.01,60,0.746051416839209,0.6825642710490114,0.0078479291903332
nominal,3.02,60,0.7290888417141383,0.6613610521426728,0.0130037262135976
nominal,3.03,60,0.7428144667318599,0.6785180834148249,0.0130292464848536
nominal,3.04,60,0.7401589765184049,0.6751987206480062,0.0101809841964134
nominal,3.05,60,0.7378769128173395,0.6723461410216746,0.0096666980638606
nominal,3.06,60,0.7275781608896168,0.6594727011120212,0.0096560837251435
nominal,3.07,60,0.7139463629905415,0.6424329537381767,0.0149051970019224
nominal,3.08,60,0.7297686511853562,0.662210813981695,0.0124707446859672
nominal,3.09,60,0.731040500772658,0.6638006259658223,0.0146635980057121
nominal,3.1,60,0.7408043322816233,0.6760054153520288,0.0098029094843488
nominal,3.11,60,0.7289798575447157,0.6612248219308946,0.0136106739078582
nominal,3.12,60,0.7132170249953725,0.6415212812442157,0.0134276915964417
nominal,3.13,60,0.7367470001454947,0.6709337501818683,0.0106501414166155
nominal,3.14,60,0.741741876505496,0.67717734563187,0.0102733434982182
nominal,3.15,60,0.7320909385287812,0.6651136731609765,0.0111804373475939
nominal,3.16,60,0.7202264113551715,0.6502830141939645,0.0117257418325839
nominal,3.17,60,0.7106543246002732,0.6383179057503414,0.011719128766834
nominal,3.18,60,0.7171570515628614,0.6464463144535767,0.0148653475455349
nominal,3.19,60,0.7260302299536412,0.6575377874420513,0.0103247786097934
nominal,3.2,60,0.7085849478309116,0.6357311847886394,0.0163464072084235
nominal,3.21,60,0.7265690611464569,0.6582113264330715,0.009393015611041
nominal,3.22,60,0.7171567163190927,0.6464458953988659,0.0106874198320908
nominal,3.23,60,0.7093078590953376,0.636634823869172,0.011098463866245
nominal,3.24,60,0.7101744144877807,0.6377180181097258,0.0087703826403785
nominal,3.25,60,0.6842785934625005,0.6053482418281254,0.0119740783514842
nominal,3.26,60,0.6876692262245633,0.6095865327807041,0.0146716890314849
nominal,3.27,60,0.7227429471747786,0.6534286839684732,0.0139007441631386
nominal,3.28,60,0.7050314321326461,0.6312892901658074,0.0103355732016393
nominal,3.29,60,0.7234461118323124,0.6543076397903906,0.0116384459345319
nominal,3.3,60,0.6966851620388467,0.620856452548558,0.0112801294964085
nominal,3.31,60,0.708892997902889,0.6361162473786112,0.0123206505741401
nominal,3.32,60,0.701151501101648,0.62643937637706,0.0117148089063127
nominal,3.33,60,0.6955918473633207,0.6194898092041505,0.0152681572006417
nominal,3.34,60,0.6728926159002266,0.5911157698752834,0.0156366353961021
nominal,3.35,60,0.6759011699652043,0.5948764624565055,0.0166702089548286
nominal,3.36,60,0.6852537443380697,0.6065671804225872,0.0144439823602423
nominal,3.37,60,0.6886809334875091,0.6108511668593863,0.0163739578249016
nominal,3.38,60,0.673250031687444,0.5915625396093049,0.0148984969729019
nominal,3.39,60,0.6849007662922326,0.6061259578652909,0.0114728565252371
nominal,3.4,60,0.6948786795112571,0.6185983493890711,0.0137632220859328
nominal,3.41,60,0.6820212168363566,0.6025265210454457,0.0127125769839332
nominal,3.42,60,0.6677493498632181,0.5846866873290227,0.0177737317213013
nominal,3.43,60,0.6794278427452186,0.5992848034315232,0.0104774007129022
nominal,3.44,60,0.6805768735517134,0.6007210919396418,0.010966265643469
nominal,3.45,60,0.7023861609194173,0.6279827011492715,0.0111756041324225
nominal,3.46,60,0.6772022758282068,0.5965028447852582,0.0146933763887975
nominal,3.47,60,0.6910290017431571,0.6137862521789464,0.0101459242522523
nominal,3.48,60,0.6862770821905936,0.6078463527382418,0.0125426278620701
nominal,3.49,60,0.6810518127019142,0.6013147658773925,0.0143511675456202
nominal,3.5,60,0.6618009997579215,0.5772512496974019,0.0155952205592179
